route,direction,weekday,hour,2013,2014,2015,2016,2017
I-93 South of Boston,Northbound,"Tue, Wed, Thu",8 AM,37.82,38.26,40.4,42.21,41.21
I-93 South of Boston,Northbound,"Tue, Wed, Thu",9 AM,31.87,32.34,34.01,36.06,35.9
I-93 South of Boston,Northbound,"Tue, Wed, Thu",10 AM,22.09,21.96,24.62,27.78,29.34
I-93 South of Boston,Northbound,"Tue, Wed, Thu",11 AM,14.34,15.94,17.99,20.07,20.82
I-93 South of Boston,Northbound,"Tue, Wed, Thu",12 PM,11.68,12.07,13.82,15.76,15.69
I-93 South of Boston,Northbound,"Tue, Wed, Thu",1 PM,11.27,13.08,12.86,16.16,14.91
I-93 South of Boston,Northbound,"Tue, Wed, Thu",2 PM,15.92,16.84,18.31,21.37,22.43
I-93 South of Boston,Northbound,"Tue, Wed, Thu",3 PM,23.74,22.94,28.09,28.72,29.39
I-93 South of Boston,Northbound,"Tue, Wed, Thu",4 PM,29.71,27.69,33.94,36.19,35.1
I-93 South of Boston,Northbound,"Tue, Wed, Thu",5 PM,37.37,29.73,36.28,36.26,34.92
I-93 South of Boston,Northbound,"Tue, Wed, Thu",6 PM,31.82,23.22,27.9,29.67,28.62
I-93 South of Boston,Northbound,"Tue, Wed, Thu",7 PM,15.91,12.16,15.28,15.33,14.54
I-93 South of Boston,Northbound,"Tue, Wed, Thu",8 PM,10.75,11.03,11.32,11.87,11.79
I-93 South of Boston,Northbound,"Tue, Wed, Thu",9 PM,10.82,11.15,11.46,12.98,11.99
I-93 South of Boston,Northbound,weekend,6 AM,10.27,10.32,10.57,11.05,10.95
I-93 South of Boston,Northbound,weekend,7 AM,10.12,11.12,10.73,10.81,10.98
I-93 South of Boston,Northbound,weekend,8 AM,10.23,10.44,10.89,10.96,11.14
I-93 South of Boston,Northbound,weekend,9 AM,10.45,10.45,11.4,11.02,11.78
I-93 South of Boston,Northbound,weekend,10 AM,10.91,11.51,12.48,12.82,15.5
I-93 South of Boston,Northbound,weekend,11 AM,12.32,13.5,15,17.34,19.37
I-93 South of Boston,Northbound,weekend,12 PM,13.64,15.46,18.06,19.55,22.12
I-93 South of Boston,Northbound,weekend,1 PM,14.89,16.18,19.12,19.38,23.64
I-93 South of Boston,Northbound,weekend,2 PM,16.19,15.31,19.97,20.63,22.79
I-93 South of Boston,Northbound,weekend,3 PM,15.46,14.51,19.44,19.83,22.13
I-93 South of Boston,Northbound,weekend,4 PM,13.8,14.18,17.61,18.72,19.87
I-93 South of Boston,Northbound,weekend,5 PM,13.08,13.68,15.52,16.44,18.17
