route,direction,weekday,hour,2013,2014,2015,2016,2017
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",2 PM,41.75,40.92,41.96,43.35,43.28
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",3 PM,42.22,43.33,43.3,44.27,44.03
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",4 PM,42.75,44.17,44.45,44.71,46.74
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",5 PM,44.5,45.79,45.51,45.82,49.42
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",6 PM,42.96,45.29,43.26,43.14,44.22
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",7 PM,41.34,40.73,42.3,41.25,40.02
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",8 PM,39.65,39.54,43.82,40.88,44.25
MA-3 to Sagamore Bridge,Southbound,"Tue, Wed, Thu",9 PM,39.52,40.49,44.66,41.55,44.42
MA-3 to Sagamore Bridge,Northbound,weekend,6 AM,38.51,38.2,38.36,38.83,38.52
MA-3 to Sagamore Bridge,Northbound,weekend,7 AM,38.41,38.03,37.85,38.2,37.98
MA-3 to Sagamore Bridge,Northbound,weekend,8 AM,38.64,38.14,38.43,38.65,37.89
MA-3 to Sagamore Bridge,Northbound,weekend,9 AM,38.73,38.1,38.6,38.68,38.44
MA-3 to Sagamore Bridge,Northbound,weekend,10 AM,39.02,38.69,38.76,39.37,38.97
MA-3 to Sagamore Bridge,Northbound,weekend,11 AM,40.25,39.86,42.23,42.13,41.71
MA-3 to Sagamore Bridge,Northbound,weekend,12 PM,42.14,42.07,46.62,47.73,46.02
MA-3 to Sagamore Bridge,Northbound,weekend,1 PM,44.47,43.07,46.51,49.13,45.53
MA-3 to Sagamore Bridge,Northbound,weekend,2 PM,43.99,42.61,45.16,49.2,45.89
MA-3 to Sagamore Bridge,Northbound,weekend,3 PM,42.74,42.99,44.42,47.87,46.18
MA-3 to Sagamore Bridge,Northbound,weekend,4 PM,44.25,43.04,45.21,45.86,46.96
MA-3 to Sagamore Bridge,Northbound,weekend,5 PM,43.69,42.75,43.65,43.8,44.58
MA-3 to Sagamore Bridge,Northbound,weekend,6 PM,41.76,42.09,40.92,41.75,42.78
MA-3 to Sagamore Bridge,Northbound,weekend,7 PM,40.57,42.72,40.82,41.88,42.01
MA-3 to Sagamore Bridge,Northbound,weekend,8 PM,41.26,43.85,41,45.65,41.38
MA-3 to Sagamore Bridge,Northbound,weekend,9 PM,40.85,44.17,40.16,43.75,40.74
MA-3 to Sagamore Bridge,Southbound,weekend,6 AM,38.46,38.02,38.43,38.81,38.43
MA-3 to Sagamore Bridge,Southbound,weekend,7 AM,38.48,37.82,38.17,38.39,38.48
MA-3 to Sagamore Bridge,Southbound,weekend,8 AM,39,38.41,38.64,39.34,38.58
MA-3 to Sagamore Bridge,Southbound,weekend,9 AM,40.65,39.29,38.71,40.25,39.29
MA-3 to Sagamore Bridge,Southbound,weekend,10 AM,40.68,40.55,39.74,40.78,40.74
MA-3 to Sagamore Bridge,Southbound,weekend,11 AM,42.88,41.95,42.09,42.53,42.92
MA-3 to Sagamore Bridge,Southbound,weekend,12 PM,44.05,43.88,43.33,44.17,45.22
MA-3 to Sagamore Bridge,Southbound,weekend,1 PM,43.84,43.85,43.11,43.27,44.45
MA-3 to Sagamore Bridge,Southbound,weekend,2 PM,43.25,43.09,42.03,41.99,42.36
MA-3 to Sagamore Bridge,Southbound,weekend,3 PM,42.83,41.57,41.63,41.62,42.31
MA-3 to Sagamore Bridge,Southbound,weekend,4 PM,41.63,40.58,41.06,40.7,41.18
MA-3 to Sagamore Bridge,Southbound,weekend,5 PM,40.19,39.76,40.28,39.62,39.56
MA-3 to Sagamore Bridge,Southbound,weekend,6 PM,38.94,38.74,38.56,38.8,38.28
MA-3 to Sagamore Bridge,Southbound,weekend,7 PM,38.81,38.64,38.37,38.96,38.09
MA-3 to Sagamore Bridge,Southbound,weekend,8 PM,38.98,39.2,39.23,39.59,39.41
MA-3 to Sagamore Bridge,Southbound,weekend,9 PM,39.36,40.02,40.29,40.11,39.85
